rider_id,rider_name,sign_up
RID0001,Rider_1,2023-07-20
RID0002,Rider_2,2022-10-28
RID0003,Rider_3,2023-10-06
RID0004,Rider_4,2023-09-26
RID0005,Rider_5,2023-01-06
RID0006,Rider_6,2023-08-15
RID0007,Rider_7,2022-07-16
RID0008,Rider_8,2022-03-13
RID0009,Rider_9,2022-02-16
RID0010,Rider_10,2023-11-09
RID0011,Rider_11,2022-08-22
RID0012,Rider_12,2022-10-24
RID0013,Rider_13,2022-03-23
RID0014,Rider_14,2022-08-27
RID0015,Rider_15,2022-04-14
RID0016,Rider_16,2023-01-25
RID0017,Rider_17,2022-10-12
RID0018,Rider_18,2023-04-10
RID0019,Rider_19,2023-10-13
RID0020,Rider_20,2023-01-09
RID0021,Rider_21,2022-06-16
RID0022,Rider_22,2023-01-15
RID0023,Rider_23,2022-12-30
RID0024,Rider_24,2022-08-03
RID0025,Rider_25,2023-11-18
RID0026,Rider_26,2022-10-01
RID0027,Rider_27,2023-12-01
RID0028,Rider_28,2023-10-26
RID0029,Rider_29,2022-03-15
RID0030,Rider_30,2023-09-16
RID0031,Rider_31,2023-10-13
RID0032,Rider_32,2022-06-25
RID0033,Rider_33,2023-07-01
RID0034,Rider_34,2022-09-08
RID0035,Rider_35,2022-06-17
RID0036,Rider_36,2023-04-19
RID0037,Rider_37,2023-01-24
RID0038,Rider_38,2022-10-04
RID0039,Rider_39,2023-10-18
RID0040,Rider_40,2023-07-25
RID0041,Rider_41,2022-08-13
RID0042,Rider_42,2022-11-29
RID0043,Rider_43,2022-02-27
RID0044,Rider_44,2022-08-23
RID0045,Rider_45,2022-02-02
RID0046,Rider_46,2022-11-20
RID0047,Rider_47,2023-02-15
RID0048,Rider_48,2022-10-02
RID0049,Rider_49,2022-03-09
RID0050,Rider_50,2022-08-05
